ROWID,fir_number,brief_facts,crime_category,date_reported,district,police_station,status,latitude,longitude,gravity,crime_major_head,crime_minor_head,court_name,incident_from_date,incident_to_date,info_received_date
1192,HSSN-0014/2025,"On the night of 16/08/2025, unknown persons broke the rear door lock of the complainant's residence in Hassan Town and committed theft of gold ornaments and cash totalling Rs. 163,000 while the family was away at their native place. Neighbours reported a silver Swift car parked near the gate around 11:15 PM.",FIR,2025-08-20,Hassan,Hassan Town PS,Closed,12.992285,76.082149,Non-Heinous,Property Crimes,House Burglary,Hassan District Court,2025-08-16 23:02:00,2025-08-16 23:05:00,2025-08-18 04:49:52
1193,BRHM-0014/2025,"The complainant reported that on 17/08/2025 around 3:45 PM his neighbour in Brahmpur, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2025-08-20,Kalaburagi,Brahmpur PS,Charge Sheeted,17.382811,76.808388,Non-Heinous,Crimes Against Body,Assault,Kalaburagi District Court,2025-08-17 15:37:00,2025-08-17 17:37:00,2025-08-18 13:37:00
1194,GKLR-0013/2025,"On 17/08/2025 around 10:30 AM, a special team laid a trap near the main road junction in Gokul Road and apprehended a peddler with 69 MDMA pills and 44 grams of hydro ganja meant for circulation at parties. Mobile phones recovered indicate contacts with an inter-state supplier.",FIR,2025-08-18,Hubballi-Dharwad,Gokul Road PS,Under Investigation,15.390392,75.134524,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Hubballi-Dharwad District Court,2025-08-17 10:39:00,2025-08-17 11:29:00,2025-08-18 23:25:20
1195,DVRJ-0008/2025,"The complainant reported that while shopping at the Devaraja market on 17/08/2025 around 10:30 AM, an unknown person snatched her mobile phone worth Rs. 16,000 and disappeared into the crowd towards Kuvempunagar.",Zero FIR,2025-08-17,Mysuru,Devaraja PS,Under Investigation,12.236285,76.618841,Non-Heinous,Property Crimes,Mobile Phone Theft,Mysuru District Court,2025-08-17 10:06:00,2025-08-17 11:54:00,2025-08-17 19:05:52
1196,CBBN-0053/2025,The complainant reported that his 16-year-old daughter left home in Cubbon Park for tuition on 17/08/2025 around 11:30 AM and did not return. Investigation revealed she was last seen near the market road boarding a white Innova car. A kidnapping case has been registered and special teams dispatched.,FIR,2025-08-17,Bengaluru City,Cubbon Park PS,Under Investigation,12.97233,77.560932,Heinous,Crimes Against Body,Kidnapping,Bengaluru City District Court,2025-08-17 11:18:00,2025-08-17 14:44:00,2025-08-17 23:15:10
1197,INDR-0043/2025,"On 17/08/2025, the body of a male aged about 40 years was found near the park entrance in Indiranagar with multiple stab injuries. Preliminary investigation suggests the deceased was done to death around 8:15 AM the previous night over a financial dispute. The scene was secured and forensic teams collected evidence.",FIR,2025-08-19,Bengaluru City,Indiranagar PS,Charge Sheeted,12.921975,77.558972,Heinous,Crimes Against Body,Murder,Bengaluru City District Court,2025-08-17 08:52:00,2025-08-17 10:50:00,2025-08-19 03:32:45
1198,KVMP-0009/2025,"The complainant, a resident of Kuvempunagar, reported that while returning from the market around 6:15 PM on 18/08/2025, the pillion rider of a black Pulsar motorcycle without number plates snatched her mangalsutra valued at Rs. 108,000. She sustained minor abrasions on the neck. CCTV footage of nearby shops is being collected.",FIR,2025-08-21,Mysuru,Kuvempunagar PS,Charge Sheeted,12.26682,76.64536,Non-Heinous,Property Crimes,Chain Snatching,Mysuru District Court,2025-08-18 18:05:00,2025-08-18 20:38:00,2025-08-20 12:41:38
1199,CBBN-0054/2025,"The complainant, a college student from Cubbon Park, reported on 18/08/2025 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 10:30 PM and continues to be active despite reporting.",Zero FIR,2025-08-19,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.969046,77.554317,Non-Heinous,Cyber Crimes,Social Media Harassment,Bengaluru City District Court,2025-08-18 22:33:00,2025-08-18 23:25:00,2025-08-19 07:29:28
1200,KHDB-0010/2025,"Following a dispute during a local procession on 18/08/2025 around 8:15 AM, members of two communities gathered at Khade Bazar armed with sticks and stones and indulged in rioting, injuring 4 persons including a police constable. Prohibitory orders were promulgated.",FIR,2025-08-18,Belagavi,Khade Bazar PS,Closed,15.799907,74.45925,Non-Heinous,Public Order,Rioting,Belagavi District Court,2025-08-18 08:26:00,2025-08-18 11:30:00,2025-08-18 09:26:51
1201,KTJN-0004/2025,"On 19/08/2025, the complainant of KTJ Nagar stated that her husband, addicted to alcohol, has been beating her frequently and taunting her over dowry. The previous night around 1:30 PM he assaulted her with a belt in front of the children. Medical examination was conducted at the district hospital.",FIR,2025-08-21,Davanagere,KTJ Nagar PS,Closed,14.449639,75.929818,Non-Heinous,Crimes Against Women,Domestic Cruelty,Davanagere District Court,2025-08-19 13:20:00,2025-08-19 16:04:00,2025-08-21 04:51:03
1202,PNMB-0013/2025,"On 19/08/2025 around 6:00 PM, an unknown white Innova car moving at high speed knocked down a pedestrian crossing the road near the college gate in Panambur and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",FIR,2025-08-19,Mangaluru,Panambur PS,Charge Sheeted,12.939471,74.823512,Non-Heinous,Road Incidents,Hit and Run,Mangaluru District Court,2025-08-19 18:15:00,2025-08-19 19:49:00,2025-08-19 21:22:09
1203,WHTF-0038/2025,"The complainant reported that while shopping at the Whitefield market on 20/08/2025 around 10:15 AM, an unknown person snatched her mobile phone worth Rs. 41,000 and disappeared into the crowd towards Yeshwanthpur.",FIR,2025-08-22,Bengaluru City,Whitefield PS,Under Investigation,12.976475,77.565621,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2025-08-20 10:43:00,2025-08-20 12:03:00,2025-08-22 09:44:47
1204,WHTF-0039/2025,"On 21/08/2025 around 9:45 PM, the complainant was walking near the vegetable market in Whitefield when two unidentified men on a grey KTM motorcycle approached from behind and snatched her gold chain of 28 grams worth Rs. 86,000. The riders sped away towards Yeshwanthpur before anyone could note the registration number.",FIR,2025-08-22,Bengaluru City,Whitefield PS,Under Investigation,12.975794,77.577336,Non-Heinous,Property Crimes,Chain Snatching,Bengaluru City District Court,2025-08-21 21:44:00,2025-08-21 23:56:00,2025-08-22 21:12:25
1205,SHHP-0008/2025,"On 21/08/2025, the complainant reported that an online acquaintance induced her to invest in a fake cryptocurrency platform showing fabricated profits. She invested Rs. 392,000 in tranches from her account in Shahapur. The platform domain was registered abroad and has since gone offline.",FIR,2025-08-23,Belagavi,Shahapur PS,Under Investigation,15.847451,74.453264,Non-Heinous,Cyber Crimes,Investment Scam,Belagavi District Court,2025-08-21 13:55:00,2025-08-21 14:17:00,2025-08-23 00:16:57
1206,PNSN-0013/2025,"On 22/08/2025, the complainant reported that an online acquaintance induced her to invest in a fake cryptocurrency platform showing fabricated profits. She invested Rs. 600,000 in tranches from her account in Pension Mohalla. The platform domain was registered abroad and has since gone offline.",FIR,2025-08-22,Hassan,Pension Mohalla PS,Closed,13.017826,76.118551,Non-Heinous,Cyber Crimes,Investment Scam,Hassan District Court,2025-08-22 16:33:00,2025-08-22 20:33:00,2025-08-22 22:55:29
1207,KDRK-0008/2025,"On 22/08/2025 around 9:30 PM, the complainant, a resident of Kadri, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 224,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2025-08-26,Mangaluru,Kadri PS,Closed,12.895942,74.812786,Non-Heinous,Cyber Crimes,OTP Fraud,Mangaluru District Court,2025-08-22 21:55:00,2025-08-22 23:25:00,2025-08-24 21:19:43
1208,CBBN-0055/2025,"The complainant, a college student from Cubbon Park, reported on 22/08/2025 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 3:15 PM and continues to be active despite reporting.",FIR,2025-08-24,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.918932,77.552617,Non-Heinous,Cyber Crimes,Social Media Harassment,Bengaluru City District Court,2025-08-22 15:19:00,2025-08-22 16:18:00,2025-08-24 08:01:53
1209,KRMN-0045/2025,"The complainant parked his red Splendor motorcycle in front of his residence in Koramangala on the night of 23/08/2025. When he came out around 11:15 PM the next morning the vehicle was missing along with its documents kept in the boot. The vehicle is valued at Rs. 101,000.",FIR,2025-08-26,Bengaluru City,Koramangala PS,Closed,12.95983,77.546091,Non-Heinous,Property Crimes,Vehicle Theft,Bengaluru City District Court,2025-08-23 23:08:00,2025-08-24 01:53:00,2025-08-25 06:07:47
1210,LSHK-0022/2025,"On 23/08/2025 around 9:45 PM, the complainant, a resident of Lashkar, received a call from a person posing as a bank officer who claimed his debit card would be blocked. On sharing the OTP, Rs. 201,000 was fraudulently debited from his savings account in three transactions. The cyber cell has written to the bank to freeze the beneficiary account.",FIR,2025-08-25,Mysuru,Lashkar PS,Closed,12.268903,76.59552,Non-Heinous,Cyber Crimes,OTP Fraud,Mysuru District Court,2025-08-23 21:31:00,2025-08-23 23:05:00,2025-08-25 18:06:52
1211,BTHR-0017/2025,"On 23/08/2025, the complainant of Bethur Road stated that her husband, addicted to alcohol, has been beating her frequently and taunting her over dowry. The previous night around 1:30 PM he assaulted her with a belt in front of the children. Medical examination was conducted at the district hospital.",FIR,2025-08-24,Davanagere,Bethur Road PS,Under Investigation,14.453371,75.887373,Non-Heinous,Crimes Against Women,Domestic Cruelty,Davanagere District Court,2025-08-23 13:01:00,2025-08-23 15:24:00,2025-08-24 11:01:13
1212,CMPC-0022/2025,"On 23/08/2025 around 3:45 PM, the complainant's mobile phone worth Rs. 67,000 was stolen from his pocket while boarding a crowded bus near the main road junction in Camp. The IMEI number has been noted for tracking.",FIR,2025-08-25,Belagavi,Camp PS,Charge Sheeted,15.793396,74.464658,Non-Heinous,Property Crimes,Mobile Phone Theft,Belagavi District Court,2025-08-23 15:15:00,2025-08-23 15:52:00,2025-08-25 06:58:28
1213,NTTV-0008/2025,"Several depositors of Nittuvalli reported that a chit-fund company collected deposits promising 15% annual interest and doubled-money schemes. On 23/08/2025 the office was found locked and the promoters absconding with public deposits estimated at Rs. 11,832,000.",FIR,2025-08-26,Davanagere,Nittuvalli PS,Under Investigation,14.459602,75.974544,Non-Heinous,Economic Offences,Ponzi Scheme,Davanagere District Court,2025-08-23 18:44:00,2025-08-23 21:24:00,2025-08-25 16:13:47
1214,SLGM-0007/2025,"The complainant, a college student from Salagame Road, reported on 23/08/2025 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 10:00 PM and continues to be active despite reporting.",FIR,2025-08-25,Hassan,Salagame Road PS,Closed,12.964778,76.074447,Non-Heinous,Cyber Crimes,Social Media Harassment,Hassan District Court,2025-08-23 22:56:00,2025-08-24 00:36:00,2025-08-24 09:12:44
1215,CBBN-0056/2025,"On 24/08/2025, the complainant of Cubbon Park stated that her husband, addicted to alcohol, has been beating her frequently and taunting her over dowry. The previous night around 9:30 AM he assaulted her with a belt in front of the children. Medical examination was conducted at the district hospital.",Zero FIR,2025-08-25,Bengaluru City,Cubbon Park PS,Under Investigation,13.020466,77.621698,Non-Heinous,Crimes Against Women,Domestic Cruelty,Bengaluru City District Court,2025-08-24 09:05:00,2025-08-24 12:36:00,2025-08-25 22:32:35
1216,JYNG-0051/2025,"The complainant of Jayanagar reported that the accused took an advance of Rs. 567,000 on 24/08/2025 promising to supply construction material, but neither supplied the goods nor returned the amount and is now evading calls. The accused issued a cheque which was dishonoured.",FIR,2025-08-26,Bengaluru City,Jayanagar PS,Under Investigation,12.972685,77.527246,Non-Heinous,Economic Offences,Cheating,Bengaluru City District Court,2025-08-24 19:34:00,2025-08-24 20:32:00,2025-08-25 10:15:03
1217,CWLB-0010/2025,"Acting on a tip-off, a raid was conducted on 24/08/2025 around 10:30 AM at a rented room in Cowl Bazar where 4 kg of ganja packed in small pouches was recovered along with cash of Rs. 38,000. The accused was peddling near the Bruce Pete college campus.",FIR,2025-08-25,Ballari,Cowl Bazar PS,Under Investigation,15.108695,76.905626,Non-Heinous,Narcotics,Ganja Possession,Ballari District Court,2025-08-24 10:28:00,2025-08-24 12:19:00,2025-08-25 21:30:43
1218,YSHW-0036/2025,"The complainant reported that on 24/08/2025 around 10:45 AM his father, a morning walker, was hit by an unidentified black Apache motorcycle near Yeshwanthpur which fled the scene. He succumbed to head injuries at the hospital. Vehicle fragments found at the spot have been sent for examination.",FIR,2025-08-24,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,12.932229,77.550404,Non-Heinous,Road Incidents,Hit and Run,Bengaluru City District Court,2025-08-24 10:13:00,2025-08-24 10:50:00,2025-08-24 14:35:03
1219,LSHK-0023/2025,"The complainant, married for 11 years and residing at Lashkar, reported that her husband and in-laws subjected her to physical and mental cruelty demanding additional dowry of Rs. 690,000. On 24/08/2025 around 12:00 PM she was assaulted and driven out of the matrimonial home.",FIR,2025-08-26,Mysuru,Lashkar PS,Under Investigation,12.311809,76.659957,Non-Heinous,Crimes Against Women,Domestic Cruelty,Mysuru District Court,2025-08-24 12:04:00,2025-08-24 14:19:00,2025-08-24 18:01:20
1220,YSHW-0037/2025,"On 25/08/2025, the body of a male aged about 43 years was found near the main road junction in Yeshwanthpur with multiple stab injuries. Preliminary investigation suggests the deceased was done to death around 7:30 PM the previous night over a financial dispute. The scene was secured and forensic teams collected evidence.",FIR,2025-08-26,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,13.017347,77.618481,Heinous,Crimes Against Body,Murder,Bengaluru City District Court,2025-08-25 19:51:00,2025-08-25 23:51:00,2025-08-26 18:19:33
1221,YSHW-0038/2025,"On 25/08/2025 around 11:15 PM, the complainant's mobile phone worth Rs. 39,000 was stolen from his pocket while boarding a crowded bus near the main road junction in Yeshwanthpur. The IMEI number has been noted for tracking.",FIR,2025-08-27,Bengaluru City,Yeshwanthpur PS,Charge Sheeted,13.017758,77.560179,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2025-08-25 23:09:00,2025-08-26 02:54:00,2025-08-26 20:22:15
1222,KRMN-0046/2025,"On 25/08/2025 around 8:30 PM, an unknown white van moving at high speed knocked down a pedestrian crossing the road near the main road junction in Koramangala and sped away without stopping. The injured was shifted to hospital by passers-by and is critical. CCTV cameras along the stretch are being examined.",FIR,2025-08-27,Bengaluru City,Koramangala PS,Charge Sheeted,12.948224,77.553796,Non-Heinous,Road Incidents,Hit and Run,Bengaluru City District Court,2025-08-25 20:35:00,2025-08-25 21:50:00,2025-08-27 00:09:21
1223,KDRK-0009/2025,"The complainant reported that on 26/08/2025 around 6:45 PM, while waiting near the college gate in Kadri, the accused passed lewd remarks and attempted to grab her hand despite her protests. Onlookers intervened and the accused fled towards Barke.",FIR,2025-08-28,Mangaluru,Kadri PS,Under Investigation,12.888167,74.835308,Non-Heinous,Crimes Against Women,Harassment,Mangaluru District Court,2025-08-26 18:52:00,2025-08-26 21:14:00,2025-08-28 11:55:15
1224,MLPM-0003/2025,"On 26/08/2025 around 12:30 PM, the complainant's son was forcibly taken into a silver Swift car by three unknown persons near Malpe. A ransom call demanding Rs. 1,593,000 was received the same evening from an unregistered number. Technical teams are tracing the call.",FIR,2025-08-26,Udupi,Malpe PS,Closed,13.346272,74.736586,Heinous,Crimes Against Body,Kidnapping,Udupi District Court,2025-08-26 12:59:00,2025-08-26 16:10:00,2025-08-26 22:20:38
1225,CBBN-0057/2025,"The complainant reported that on 27/08/2025 around 10:30 PM his father, a morning walker, was hit by an unidentified black Apache motorcycle near Cubbon Park which fled the scene. He succumbed to head injuries at the hospital. Vehicle fragments found at the spot have been sent for examination.",FIR,2025-08-28,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.974809,77.550113,Non-Heinous,Road Incidents,Hit and Run,Bengaluru City District Court,2025-08-27 22:44:00,2025-08-28 01:18:00,2025-08-28 04:44:19
1226,KTKO-0008/2025,"The complainant reported theft of his black Apache motorcycle from the paid parking lot near the Kote railway station on 27/08/2025 around 3:15 AM. The parking attendant noticed nothing unusual. The vehicle was purchased six months ago for Rs. 72,000.",FIR,2025-08-27,Shivamogga,Kote PS,Under Investigation,13.973321,75.589719,Non-Heinous,Property Crimes,Vehicle Theft,Shivamogga District Court,2025-08-27 03:41:00,2025-08-27 04:25:00,2025-08-27 16:27:06
1227,KPKA-0003/2025,"Acting on a tip-off, a raid was conducted on 28/08/2025 around 5:00 PM at a rented room in Kaup where 6 kg of ganja packed in small pouches was recovered along with cash of Rs. 64,000. The accused was peddling near the Udupi Town college campus.",FIR,2025-09-01,Udupi,Kaup PS,Charge Sheeted,13.377904,74.744254,Non-Heinous,Narcotics,Ganja Possession,Udupi District Court,2025-08-28 17:02:00,2025-08-28 20:11:00,2025-08-30 06:37:10
1228,STTN-0015/2025,"On 28/08/2025 around 11:45 AM, about 190 persons assembled unlawfully near the vegetable market in Station Bazar in violation of prohibitory orders, blocking the highway and raising slogans over a civic issue. The assembly was dispersed and ringleaders were identified from video footage.",FIR,2025-08-30,Kalaburagi,Station Bazar PS,Charge Sheeted,17.30791,76.878962,Non-Heinous,Public Order,Unlawful Assembly,Kalaburagi District Court,2025-08-28 11:36:00,2025-08-28 15:20:00,2025-08-30 06:14:34
1229,WHTF-0040/2025,"The complainant of Whitefield was added to a trading group on a messaging app in which fraudsters promised 31% monthly returns on stock investments. Between 29/08/2025 and the following weeks he transferred Rs. 759,000 to various UPI IDs. When he attempted to withdraw, the app was disabled and the group deleted.",FIR,2025-08-31,Bengaluru City,Whitefield PS,Under Investigation,13.003954,77.609716,Non-Heinous,Cyber Crimes,Investment Scam,Bengaluru City District Court,2025-08-29 19:24:00,2025-08-29 19:46:00,2025-08-30 07:54:52
1230,LSHK-0024/2025,"Acting on a tip-off, a raid was conducted on 29/08/2025 around 11:30 AM at a rented room in Lashkar where 8 kg of ganja packed in small pouches was recovered along with cash of Rs. 40,000. The accused was peddling near the Saraswathipuram college campus.",FIR,2025-08-31,Mysuru,Lashkar PS,Charge Sheeted,12.252227,76.598534,Non-Heinous,Narcotics,Ganja Possession,Mysuru District Court,2025-08-29 11:07:00,2025-08-29 13:40:00,2025-08-30 00:21:00
1231,CMPC-0023/2025,"Acting on a tip-off, a raid was conducted on 29/08/2025 around 2:00 PM at a rented room in Camp where 1 kg of ganja packed in small pouches was recovered along with cash of Rs. 52,000. The accused was peddling near the Tilakwadi college campus.",FIR,2025-09-02,Belagavi,Camp PS,Under Investigation,15.791086,74.463462,Non-Heinous,Narcotics,Ganja Possession,Belagavi District Court,2025-08-29 14:21:00,2025-08-29 14:55:00,2025-08-31 03:51:09
1232,JYNG-0052/2025,"On 29/08/2025, the complainant of Jayanagar stated that her husband, addicted to alcohol, has been beating her frequently and taunting her over dowry. The previous night around 8:00 AM he assaulted her with a belt in front of the children. Medical examination was conducted at the district hospital.",FIR,2025-08-30,Bengaluru City,Jayanagar PS,Under Investigation,12.971947,77.527985,Non-Heinous,Crimes Against Women,Domestic Cruelty,Bengaluru City District Court,2025-08-29 08:34:00,2025-08-29 09:10:00,2025-08-30 21:02:36
1233,STTN-0016/2025,"The complainant reported that while shopping at the Station Bazar market on 29/08/2025 around 12:00 PM, an unknown person snatched her mobile phone worth Rs. 47,000 and disappeared into the crowd towards Chowk.",FIR,2025-08-29,Kalaburagi,Station Bazar PS,Under Investigation,17.285849,76.800779,Non-Heinous,Property Crimes,Mobile Phone Theft,Kalaburagi District Court,2025-08-29 12:02:00,2025-08-29 13:15:00,2025-08-29 21:20:10
1234,STT2-0006/2025,"The complainant, a resident of Station Road, reported that while returning from the market around 8:15 AM on 30/08/2025, the pillion rider of a black Pulsar motorcycle without number plates snatched her mangalsutra valued at Rs. 172,000. She sustained minor abrasions on the neck. CCTV footage of nearby shops is being collected.",FIR,2025-08-31,Vijayapura,Station Road PS,Charge Sheeted,16.835367,75.736481,Non-Heinous,Property Crimes,Chain Snatching,Vijayapura District Court,2025-08-30 08:27:00,2025-08-30 09:59:00,2025-08-30 11:12:05
1235,BDDB-0002/2025,"On 30/08/2025, the complainant found that a loan of Rs. 482,000 had been availed in his name using forged Aadhaar and PAN details. He resides in Bidadi and has never applied for the said loan. The NBFC records show an unknown address in Channapatna.",FIR,2025-09-01,Ramanagara,Bidadi PS,Closed,12.76974,77.292955,Non-Heinous,Cyber Crimes,Identity Theft,Ramanagara District Court,2025-08-30 11:10:00,2025-08-30 13:02:00,2025-09-01 05:37:21
1236,SRSW-0021/2025,"Between the night of 30/08/2025 and the following morning, burglars gained entry into a locked house at Saraswathipuram by cutting the window grill and decamped with valuables worth Rs. 532,000. Fingerprints were lifted from the almirah and a dog squad was pressed into service.",FIR,2025-08-31,Mysuru,Saraswathipuram PS,Closed,12.321875,76.565716,Non-Heinous,Property Crimes,House Burglary,Mysuru District Court,2025-08-30 03:57:00,2025-08-30 07:29:00,2025-08-31 06:48:52
1237,YSHW-0039/2025,"On 31/08/2025 around 9:45 AM, the complainant's son was forcibly taken into a silver Swift car by three unknown persons near Yeshwanthpur. A ransom call demanding Rs. 1,128,000 was received the same evening from an unregistered number. Technical teams are tracing the call.",FIR,2025-09-02,Bengaluru City,Yeshwanthpur PS,Under Investigation,12.973459,77.575968,Heinous,Crimes Against Body,Kidnapping,Bengaluru City District Court,2025-08-31 09:37:00,2025-08-31 12:31:00,2025-09-02 05:20:41
1238,KHDB-0011/2025,"On 31/08/2025 around 6:00 AM, an elderly woman on her morning walk near the metro station, Khade Bazar was targeted by a chain snatcher on a red Splendor motorcycle who fled towards the Camp ring road with her gold chain worth Rs. 94,000. Two similar incidents were reported in the same beat during the fortnight.",FIR,2025-08-31,Belagavi,Khade Bazar PS,Closed,15.849708,74.459459,Non-Heinous,Property Crimes,Chain Snatching,Belagavi District Court,2025-08-31 06:36:00,2025-08-31 10:28:00,2025-08-31 23:30:08
1239,BTHR-0018/2025,"The complainant, married for 9 years and residing at Bethur Road, reported that her husband and in-laws subjected her to physical and mental cruelty demanding additional dowry of Rs. 729,000. On 31/08/2025 around 10:30 AM she was assaulted and driven out of the matrimonial home.",FIR,2025-09-01,Davanagere,Bethur Road PS,Charge Sheeted,14.436125,75.896541,Non-Heinous,Crimes Against Women,Domestic Cruelty,Davanagere District Court,2025-08-31 10:28:00,2025-08-31 12:01:00,2025-09-01 01:32:21
1240,YSHW-0040/2025,"Despite prohibitory orders in force, a mob gathered around 9:15 AM on 01/09/2025 in front of the Yeshwanthpur government office demanding action on a local dispute, obstructing public servants from discharging duty. The crowd dispersed after police intervention.",FIR,2025-09-03,Bengaluru City,Yeshwanthpur PS,Closed,12.977179,77.5673,Non-Heinous,Public Order,Unlawful Assembly,Bengaluru City District Court,2025-09-01 09:32:00,2025-09-01 11:40:00,2025-09-02 10:16:14
1241,CBBN-0058/2025,"The complainant reported that while shopping at the Cubbon Park market on 01/09/2025 around 5:45 PM, an unknown person snatched her mobile phone worth Rs. 44,000 and disappeared into the crowd towards Jayanagar.",FIR,2025-09-02,Bengaluru City,Cubbon Park PS,Charge Sheeted,12.962883,77.570878,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2025-09-01 17:40:00,2025-09-01 19:24:00,2025-09-02 02:43:38
1242,TRNG-0009/2025,"On 01/09/2025 around 9:00 AM, three unknown persons armed with knives waylaid the complainant near the college gate in Toranagallu and robbed him of cash Rs. 9,000, a gold ring and his mobile phone. The accused threatened him with dire consequences before escaping on a blue Activa scooter.",FIR,2025-09-03,Ballari,Toranagallu PS,Charge Sheeted,15.111419,76.909286,Heinous,Property Crimes,Robbery,Ballari District Court,2025-09-01 09:32:00,2025-09-01 12:02:00,2025-09-02 16:40:04
1243,NTTV-0009/2025,"Despite prohibitory orders in force, a mob gathered around 9:30 AM on 01/09/2025 in front of the Nittuvalli government office demanding action on a local dispute, obstructing public servants from discharging duty. The crowd dispersed after police intervention.",FIR,2025-09-01,Davanagere,Nittuvalli PS,Charge Sheeted,14.45415,75.928749,Non-Heinous,Public Order,Unlawful Assembly,Davanagere District Court,2025-09-01 09:44:00,2025-09-01 12:52:00,2025-09-01 21:50:48
1244,VNBN-0011/2025,"On 02/09/2025, the complainant bank at Vinoba Nagar reported that a borrower availed a gold loan of Rs. 423,000 by pledging spurious gold ornaments. The fraud came to light during the annual verification of pledged articles.",FIR,2025-09-03,Shivamogga,Vinoba Nagar PS,Charge Sheeted,13.962653,75.600231,Non-Heinous,Economic Offences,Bank Fraud,Shivamogga District Court,2025-09-02 12:03:00,2025-09-02 13:05:00,2025-09-02 13:38:28
1245,BRKB-0007/2025,"Acting on a tip-off, a raid was conducted on 03/09/2025 around 8:00 AM at a rented room in Barke where 8 kg of ganja packed in small pouches was recovered along with cash of Rs. 26,000. The accused was peddling near the Surathkal college campus.",FIR,2025-09-06,Mangaluru,Barke PS,Charge Sheeted,12.887339,74.826812,Non-Heinous,Narcotics,Ganja Possession,Mangaluru District Court,2025-09-03 08:19:00,2025-09-03 11:58:00,2025-09-04 22:51:28
1246,SRTH-0012/2025,"The complainant stated that on 03/09/2025 around 7:15 PM, two persons on a red Splendor motorcycle intercepted him near Surathkal and one of them stabbed him in the abdomen intending to kill him over a money-lending dispute. Doctors have opined the injury as grievous and life-threatening.",FIR,2025-09-06,Mangaluru,Surathkal PS,Under Investigation,12.933445,74.823712,Heinous,Crimes Against Body,Attempt to Murder,Mangaluru District Court,2025-09-03 19:47:00,2025-09-03 20:45:00,2025-09-05 07:53:49
1247,UDPT-0002/2025,"The complainant parked his black Apache motorcycle in front of his residence in Udupi Town on the night of 03/09/2025. When he came out around 11:15 PM the next morning the vehicle was missing along with its documents kept in the boot. The vehicle is valued at Rs. 90,000.",FIR,2025-09-05,Udupi,Udupi Town PS,Closed,13.384036,74.73202,Non-Heinous,Property Crimes,Vehicle Theft,Udupi District Court,2025-09-03 23:20:00,2025-09-04 02:46:00,2025-09-05 14:40:14
1248,KRMN-0047/2025,"The complainant, a college student from Koramangala, reported on 03/09/2025 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 7:45 AM and continues to be active despite reporting.",FIR,2025-09-04,Bengaluru City,Koramangala PS,Charge Sheeted,12.926816,77.542101,Non-Heinous,Cyber Crimes,Social Media Harassment,Bengaluru City District Court,2025-09-03 07:16:00,2025-09-03 09:22:00,2025-09-04 04:00:06
1249,VNBN-0012/2025,"On 04/09/2025 around 8:00 PM, the accused drove a black Scorpio SUV in a rash and negligent manner near the metro station in Vinoba Nagar, endangering pedestrians and colliding with a parked blue Activa scooter. The vehicle was seized and the driver subjected to a medical test.",FIR,2025-09-05,Shivamogga,Vinoba Nagar PS,Charge Sheeted,13.972124,75.589381,Non-Heinous,Road Incidents,Rash Driving,Shivamogga District Court,2025-09-04 20:59:00,2025-09-04 23:18:00,2025-09-05 18:52:36
1250,NTTV-0010/2025,"The complainant reported that on 04/09/2025 around 12:45 AM his father, a morning walker, was hit by an unidentified black Apache motorcycle near Nittuvalli which fled the scene. He succumbed to head injuries at the hospital. Vehicle fragments found at the spot have been sent for examination.",FIR,2025-09-04,Davanagere,Nittuvalli PS,Charge Sheeted,14.482141,75.975845,Non-Heinous,Road Incidents,Hit and Run,Davanagere District Court,2025-09-04 00:37:00,2025-09-04 01:53:00,2025-09-04 23:30:32
1251,PNMB-0014/2025,"On credible information, police intercepted a red Splendor motorcycle near Panambur on 04/09/2025 around 10:00 AM and seized LSD strips and MDMA crystals worth Rs. 154,000 from the rider. The accused was supplying synthetic drugs to students around Surathkal. Forward and backward linkages are being investigated.",FIR,2025-09-06,Mangaluru,Panambur PS,Under Investigation,12.935181,74.807002,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2025-09-04 10:06:00,2025-09-04 13:11:00,2025-09-06 06:48:47
